observationUnitName	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	Budflush2	SLA	CM	Shoots3	Syllep1	Circum2	Height2	NM	REP	Height1	BS_date	Circum1	Delta13C
661300365	gnpis.lot:'661300365'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0JVUlU5NA==	661300365	661300365	2004	2004-04-01T02:00:00Z													21.532
661300365	gnpis.lot:'661300365'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0JVUlU5NA==	661300365	661300365	2004	2004-01-12T01:00:00Z										287.60000000000002			
661300365	gnpis.lot:'661300365'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0JVUlU5NA==	661300365	661300365	2004	2004-12-18T01:00:00Z							630.5						
661300365	gnpis.lot:'661300365'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0JVUlU5NA==	661300365	661300365	2004	2004-04-01T02:00:00Z								21.021999999999998					
661300365	gnpis.lot:'661300365'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0JVUlU5NA==	661300365	661300365	2004	2004-04-01T02:00:00Z		147.26											
661300365	gnpis.lot:'661300365'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0JVUlU5NA==	661300365	661300365	2004	2004-01-12T01:00:00Z					15.83								
661300365	gnpis.lot:'661300365'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0JVUlU5NA==	661300365	661300365	2004	2004-04-01T02:00:00Z									6				
661300365	gnpis.lot:'661300365'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0JVUlU5NA==	661300365	661300365	2005	2015-09-01T02:00:00Z											259.67993923560999		
661300365	gnpis.lot:'661300365'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0JVUlU5NA==	661300365	661300365	2005	2005-05-12T02:00:00Z				9.8533209999999993									
661300365	gnpis.lot:'661300365'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0JVUlU5NA==	661300365	661300365	2005	2015-09-01T02:00:00Z									6				
661300519	gnpis.lot:'661300519'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NGR0s2NQ==	661300519	661300519	2004	2004-03-21T01:00:00Z	92.666838906538004												
661300519	gnpis.lot:'661300519'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NGR0s2NQ==	661300519	661300519	2004	2004-01-12T01:00:00Z												42.303379209210107	
661300519	gnpis.lot:'661300519'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NGR0s2NQ==	661300519	661300519	2004	2004-12-18T01:00:00Z						114.51							
661300519	gnpis.lot:'661300519'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NGR0s2NQ==	661300519	661300519	2004	2004-04-01T02:00:00Z			445.24										
661300519	gnpis.lot:'661300519'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NGR0s2NQ==	661300519	661300519	2004	2004-04-01T02:00:00Z													21.666
661300519	gnpis.lot:'661300519'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NGR0s2NQ==	661300519	661300519	2004	2004-01-12T01:00:00Z										285.3			
661300519	gnpis.lot:'661300519'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NGR0s2NQ==	661300519	661300519	2004	2004-12-18T01:00:00Z							594.4						
661300519	gnpis.lot:'661300519'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NGR0s2NQ==	661300519	661300519	2004	2004-04-01T02:00:00Z								20.39					
661300519	gnpis.lot:'661300519'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NGR0s2NQ==	661300519	661300519	2004	2004-04-01T02:00:00Z		139.69999999999999											
661300519	gnpis.lot:'661300519'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NGR0s2NQ==	661300519	661300519	2004	2004-01-12T01:00:00Z					17.66								
